	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
insensé	0.18	0.046875	0.06666666666666665	0.017361111111111112	0.8200000000000001	0.9531250000000001	0.027548209366391182	0.133125	0.18213069557839337	-0.048681600510226075	0.03541541580334085	-0.054343043394169614	-0.04465533046788352	-0.3539583330037333	0.08177113838276301	-0.3539583325422933	-0.0036488193574577554	-0.3539583333273052	-0.11162585678861392
brave	0.2	0.06770833333333333	0.08	0.032986111111111105	0.8	0.9322916666666666	0.04269972451790634	0.1322916666666667	0.1784572360877876	-0.04941645587408648	0.03292892019189973	-0.05405328005767134	-0.04480128893332586	-0.35395833307979485	0.048422709397127506	-0.35395833283372913	-0.028022909341904545	-0.3539583333273208	-0.11184146518938687
sincère	0.38	0.25	0.15999999999999995	0.11458333333333333	0.6199999999999999	0.75	0.12396694214876033	0.13	0.15583558451474475	-0.04992862779435286	0.02903927689062072	-0.053256430882301295	-0.04777647173485465	-0.3539583332028666	-0.06945522161417028	-0.3539583330456824	-0.08054053696196045	-0.353958333327541	-0.11532947233553992
captif	0.26	0.13020833333333334	0.09999999999999999	0.04687500000000001	0.74	0.8697916666666665	0.05785123966942148	0.12979166666666667	0.16813437763798678	-0.0474568415704587	0.0374846414242579	-0.05318399004817665	-0.04525794557890674	-0.3539583331619413	-0.015147399814509854	-0.35395833289386663	-0.0261868033893351	-0.3539583333273721	-0.11251477504152452
timide	0.4	0.2708333333333333	0.2133333333333333	0.11631944444444445	0.6000000000000001	0.7291666666666667	0.13636363636363638	0.1291666666666667	0.15305455057294287	-0.03338324793531365	0.06848517770718288	-0.05296666754580303	-0.04797525237253591	-0.3539583332065641	-0.07583100810221621	-0.35395833295552315	-0.0025957279433240776	-0.3539583333275677	-0.11561400687042633
cruel	0.8	0.671875	0.8466666666666667	0.5902777777777778	0.20000000000000007	0.328125	0.6432506887052342	0.12812500000000004	0.12330527254122331	0.017722602369524845	0.13203348682344518	-0.05260446337518023	-0.05910483992158609	-0.3539583332311318	-0.1257605715022081	-0.3539583330378566	-0.049744332601572794	-0.3539583333290625	-0.12853644887697158
vil	0.18	0.052083333333333336	0.09333333333333334	0.01909722222222222	0.82	0.9479166666666667	0.034435261707988975	0.12791666666666665	0.17546778663915039	-0.04068726488519904	0.05615643831702055	-0.05253202254105574	-0.0432940008335306	-0.35395833303669333	0.06415803266295123	-0.35395833232655516	0.06610098464449499	-0.35395833332727206	-0.1104507482395678
injuste	0.56	0.4322916666666667	0.3133333333333333	0.20312499999999997	0.43999999999999995	0.5677083333333335	0.22589531680440772	0.12770833333333337	0.1383596609051669	-0.029152262507026357	0.07286724355560135	-0.05245958170693121	-0.05142453854134382	-0.353958333222143	-0.10573963577043771	-0.3539583330155651	-0.035318032223612295	-0.3539583333279027	-0.1196572954598859
muet	0.2	0.07291666666666667	0.06666666666666665	0.024305555555555552	0.8	0.9270833333333333	0.03305785123966942	0.12708333333333333	0.17191293740457936	-0.050908434946166745	0.029309763183511833	-0.05224225920455743	-0.04342598617995042	-0.35395833309790475	0.033997554203055114	-0.35395833276830474	-0.031850349429689895	-0.353958333327287	-0.11065128394794688
important	0.26	0.13541666666666666	0.1	0.050347222222222224	0.74	0.8645833333333333	0.06060606060606061	0.12458333333333335	0.1619218568341627	-0.048570258788429035	0.03450565130684479	-0.051372969195062776	-0.0438389476917614	-0.3539583331685333	-0.024208113708822587	-0.3539583329241747	-0.03721058939749927	-0.35395833332733617	-0.11127728141109638
sanguinaire	0.14	0.015625	0.05333333333333333	0.005208333333333333	0.8599999999999999	0.9843749999999998	0.015151515151515152	0.12437500000000001	0.17606835903347492	-0.04906016236433598	0.03486506297728975	-0.05130052836093821	-0.041700470285497365	-0.3539583325642667	0.13207391368743898	-0.3539583312238933	0.010539430069253952	-0.3539583333272118	-0.10890983577790425
profane	0.16	0.036458333333333336	0.07333333333333333	0.017361111111111112	0.8400000000000001	0.9635416666666666	0.02892561983471074	0.12354166666666666	0.17238979068930158	-0.046543839451723024	0.04103052604059869	-0.05101076502443998	-0.041813670603997426	-0.3539583329566476	0.08341316856152842	-0.3539583324631893	0.01606421138669467	-0.3539583333272249	-0.109088213332876
importun	0.36	0.23958333333333334	0.16	0.08680555555555555	0.6399999999999999	0.7604166666666666	0.10192837465564739	0.12041666666666664	0.14721891644760812	-0.041021290050590145	0.05183842405908916	-0.0499241525125717	-0.044589690480009034	-0.35395833320435943	-0.07309865779803926	-0.3539583329536341	-0.018884972751596618	-0.3539583333274361	-0.11241000979333571
